city_name,city_latitude,city_longitude
Bird Island, 45.964460, -83.859730
Bird Island, 42.700310, -83.365220
Birdsall, 41.941990, -84.004390
Birmingham, 42.546700, -83.211320
Bishop, 43.423910, -85.899780
Bitely, 43.746960, -85.861730
Black Lake, 45.431400, -84.248630
Black Lake Bluffs, 45.472230, -84.236960
Black River, 44.817230, -83.303300
Black River Island, 44.831960, -83.284410
Blackbird Island, 42.594480, -85.533630
Blain Island, 42.697250, -83.430500
Blaine, 43.115860, -82.580760
Blanchard, 43.519750, -85.080030
Blaney Junction, 46.024700, -85.911230
Blaney Park, 46.115540, -85.927070
Bliss, 45.680290, -84.884220
Blissfield, 41.832550, -83.862440
Blom, 45.651080, -87.738180
Bloomfield, 42.537810, -83.232990
Bloomfield Hills, 42.583640, -83.245490
Bloomfield Township, 42.575600, -83.273420
Bloomingdale, 42.382810, -85.956970
Blue Gill Island, 42.783360, -83.825510
Blue Water Beach, 43.207250, -82.515480
Bluff Beach, 41.815050, -85.537210
Blumfield Corners, 43.424190, -83.718300
Bobs Island, 48.167650, -88.455620
Bodus, 44.906670, -85.782590
Bois Blanc Island, 45.766680, -84.436140
Bolles Harbor, 41.867550, -83.386040
Bolton, 45.181400, -83.589710
Bombay, 43.741690, -84.266380
Bonifas, 46.311940, -89.168890
Bonner Landing, 45.704170, -85.579530
Boon, 44.289730, -85.602000
Boot Island, 45.960300, -84.274470
Booth Island, 47.878780, -89.226200
Bootjack Island, 45.951410, -83.829730
Borculo, 42.885020, -86.021150
Borland, 43.536970, -85.439210
Boston, 47.179650, -88.529290
Bostwick Lake, 43.085030, -85.450580
Bottle Island, 47.866000, -89.266480
Boulanger Island, 46.040020, -83.756670
Boulder Park, 45.313900, -85.279240
Bovine, 46.722500, -88.427780
Bow Island, 46.037800, -83.828340
Bowens Mill, 42.656700, -85.516680
Bowmanville, 44.083350, -84.246670
Bowne Center, 42.812810, -85.369180
Boyd, 42.726970, -86.089760
Boyne City, 45.216680, -85.013940
