"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-03","4.9",",,W",,,"1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20.8","H,,S","26.7",",,W","16.1",",,W","  190",",,W","  180",",,W","13.0",",,W","20.1",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-04","2.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","18.7","H,,S","21.1",",,W","11.1",",,W","  310",",,W","  310",",,W","7.6",",,W","10.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-05","0.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","15.5","H,,S","23.3",",,W","8.3",",,W","  200",",,W","  270",",,W","4.0",",,W","6.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-06","3.0",",,W",,,"0.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","15.9","H,,S",,,"13.9",",,W","  180",",,W","  180",",,W","5.4",",,W","10.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-07","3.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.7","H,,S","22.8",",,W",,,"  270",",,W","  270",",,W","6.3",",,W","7.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-08","2.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","16.2","H,,S","18.9",",,W","11.1",",,W","   30",",,W",,,"5.4",",,W",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-09","2.8",",,W",,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","15.1","H,,S","21.7",",,W","11.7",",,W","  150",",,W",,,"4.0",",,W",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-10","4.4",",,W",,,"4.6",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.8","H,,S","27.8",",,W","17.2",",,W","  200",",,W",,,"6.3",",,W",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-11","3.4",",,W",,,"15.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","25.6","H,,S","30.0",",,W","21.1",",,W","  350",",,W","  360",",,W","10.7",",,W","17.4",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-12","4.2",",,W",,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20.3","H,,S","21.1",",,W","16.1",",,W","  130",",,W","  120",",,W","7.2",",,W","9.8",",,W"
